stamp_sec,stamp_nsec,status,service,latitude,longitude
1744809969,0,1,1,25.758209228515625,-80.37380981445312
1744809971,0,1,1,25.758195877075195,-80.3738021850586
1744809972,0,1,1,25.758190155029297,-80.3738021850586
1744809973,0,1,1,25.758182525634766,-80.37379455566406
1744809975,0,1,1,25.758176803588867,-80.37379455566406
1744809975,0,1,1,25.75817108154297,-80.37378692626953
1744809977,0,1,1,25.758159637451172,-80.373779296875
1744809978,0,1,1,0.0,0.0
1744809979,0,1,1,25.75815200805664,-80.37377166748047
1744809980,0,1,1,25.758150100708008,-80.37377166748047
1744809981,0,1,1,25.758148193359375,-80.37376403808594
1744809983,0,1,1,25.75814437866211,-80.3737564086914
1744809984,0,1,1,25.758142471313477,-80.37374877929688
1744809985,0,1,1,25.758140563964844,-80.37374114990234
1744809986,0,1,1,25.758140563964844,-80.37373352050781
1744809987,0,1,1,25.75813865661621,-80.37372589111328
1744809988,0,1,1,25.75813865661621,-80.37371826171875
1744809989,0,1,1,25.75813865661621,-80.37371063232422
1744809991,0,1,1,25.75813865661621,-80.37369537353516
1744809992,0,1,1,25.75813865661621,-80.37368774414062
1744809993,0,1,1,25.75813865661621,-80.3736801147461
1744809994,0,1,1,25.75813865661621,-80.37367248535156
1744809995,0,1,1,25.75813865661621,-80.3736572265625
1744809996,0,1,1,25.75813865661621,-80.37364959716797
1744809997,0,1,1,25.75813865661621,-80.37364196777344
1744809999,0,1,1,25.758136749267578,-80.37362670898438
1744810000,0,1,1,25.758136749267578,-80.37361907958984
1744810001,0,1,1,25.758136749267578,-80.37361145019531
1744810002,0,1,1,25.758136749267578,-80.37360382080078
1744810003,0,1,1,25.758134841918945,-80.37359619140625
1744810004,0,1,1,25.758134841918945,-80.37358856201172
1744810006,0,1,1,25.758132934570312,-80.37356567382812
1744810007,0,1,1,25.758132934570312,-80.3735580444336
1744810008,0,1,1,25.758132934570312,-80.37355041503906
1744810009,0,1,1,25.75813102722168,-80.37354278564453
1744810011,0,1,1,25.75813102722168,-80.37352752685547
1744810012,0,1,1,25.758129119873047,-80.37351989746094
1744810013,0,1,1,25.758129119873047,-80.3735122680664
1744810014,0,1,1,25.758129119873047,-80.37350463867188
1744810015,0,1,1,25.758129119873047,-80.37348937988281
1744810016,0,1,1,25.758127212524414,-80.37348175048828
1744810018,0,1,1,25.758127212524414,-80.37346649169922
1744810019,0,1,1,25.75812530517578,-80.37345886230469
1744810021,0,1,1,25.75812530517578,-80.37344360351562
1744810023,0,1,1,25.75812530517578,-80.3734359741211
1744810023,0,1,1,25.75812530517578,-80.37342834472656
1744810024,0,1,1,25.75812530517578,-80.37342834472656
1744810026,0,1,1,25.758127212524414,-80.3734130859375
1744810027,0,1,1,25.758129119873047,-80.3734130859375
1744810028,0,1,1,25.75813102722168,-80.37340545654297
1744810029,0,1,1,25.758134841918945,-80.37340545654297
1744810030,0,1,1,25.75813865661621,-80.37340545654297
1744810031,0,1,1,25.758142471313477,-80.37340545654297
1744810033,0,1,1,25.758146286010742,-80.37339782714844
1744810034,0,1,1,25.75815773010254,-80.37339782714844
1744810036,0,1,1,25.758163452148438,-80.37339782714844
1744810037,0,1,1,25.75817108154297,-80.37339782714844
1744810038,0,1,1,25.7581787109375,-80.37339782714844
1744810039,0,1,1,25.75818634033203,-80.37339782714844
1744810040,0,1,1,25.758193969726562,-80.37339782714844
1744810042,0,1,1,25.758207321166992,-80.37339782714844
1744810043,0,1,1,25.75821304321289,-80.37339782714844
1744810044,0,1,1,25.75821876525879,-80.37339782714844
1744810045,0,1,1,25.758222579956055,-80.37339782714844
1744810046,0,1,1,25.75822639465332,-80.37340545654297
1744810047,0,1,1,25.758230209350586,-80.37340545654297
1744810049,0,1,1,25.75823211669922,-80.3734130859375
1744810050,0,1,1,25.75823402404785,0.0
1744810051,0,1,1,25.758235931396484,-80.37342834472656
1744810052,0,1,1,25.758235931396484,-80.3734359741211
1744810053,0,1,1,25.758237838745117,-80.37344360351562
1744810054,0,1,1,25.758237838745117,-80.37345123291016
1744810055,0,1,1,25.758237838745117,-80.37345886230469
1744810057,0,1,1,25.758237838745117,-80.37347412109375
1744810058,0,1,1,25.758235931396484,-80.37348175048828
1744810059,0,1,1,25.758235931396484,-80.37348937988281
1744810060,0,1,1,25.758235931396484,-80.37349700927734
1744810061,0,1,1,25.758235931396484,-80.37350463867188
1744810062,0,1,1,25.758235931396484,-80.3735122680664
1744810063,0,1,1,25.758235931396484,-80.37351989746094
1744810065,0,1,1,25.758235931396484,-80.37353515625
1744810066,0,1,1,25.758235931396484,-80.37354278564453
1744810067,0,1,1,25.758235931396484,-80.37355041503906
1744810068,0,1,1,25.758235931396484,-80.3735580444336
1744810069,0,1,1,25.758235931396484,-80.37356567382812
1744810070,0,1,1,25.758235931396484,-80.37357330322266
1744810071,0,1,1,25.758235931396484,-80.37358093261719
1744810072,0,1,1,25.758235931396484,-80.37358856201172
1744810074,0,1,1,25.758237838745117,-80.37360382080078
1744810075,0,1,1,25.758237838745117,-80.37361145019531
1744810076,0,1,1,25.758237838745117,-80.37361907958984
1744810077,0,1,1,25.758237838745117,-80.37362670898438
1744810079,0,1,1,25.758237838745117,-80.37364959716797
1744810080,0,1,1,25.75823974609375,-80.3736572265625
