stamp_sec,stamp_nsec,current_id,relative_rad,feature_count
1744810247,901125389,346,0.0,0
1744810249,128214117,346,0.0,0
1744810250,3953057,347,0.0,0
1744810250,905378285,347,0.0,0
1744810251,806070049,348,0.0,0
1744810253,905102753,348,0.0,0
1744810255,105113505,349,0.0,0
1744810256,5967965,349,0.0,0
1744810256,907195973,350,0.0,0
1744810258,107021985,351,0.0,0
1744810259,9512393,352,0.0,0
1744810259,908033057,353,0.0,0
1744810260,809039233,22,0.0,0
1744810262,909866981,354,0.0,0
1744810263,810875929,355,0.0,0
1744810265,11169077,356,0.0,0
1744810265,911621405,357,0.0,0
1744810266,812873629,358,0.0,0
1744810268,13068473,359,0.0,0
1744810269,816290185,360,0.0,0
1744810271,14862737,361,0.0,0
1744810271,917956277,362,0.0,0
1744810272,818559517,362,0.0,0
1744810274,16292945,363,0.0,0
1744810274,917056313,363,0.0,0
1744810275,819018241,363,0.0,0
1744810277,920972849,363,0.0,0
1744810278,819461089,363,0.0,0
1744810280,20088905,364,0.0,0
1744810280,920674853,364,0.0,0
1744810281,823834969,365,0.0,0
1744810283,21915785,365,0.0,0
1744810283,922485089,365,0.0,0
1744810286,23616101,366,0.0,0
1744810286,926861177,366,0.0,0
1744810287,825480013,366,0.0,0
1744810289,25406813,367,0.0,0
1744810289,928742873,367,0.0,0
1744810292,27127505,368,0.0,0
1744810292,927765413,368,0.0,0
1744810293,830865649,368,0.0,0
1744810295,29024669,369,0.0,0
1744810295,929448089,369,0.0,0
1744810296,831220705,370,0.0,0
1744810298,931221833,370,0.0,0
1744810299,831751537,371,0.0,0
1744810301,32388497,371,0.0,0
1744810301,935783129,371,0.0,0
1744810302,833540689,372,0.0,0
1744810304,34332221,373,0.0,0
1744810304,936423881,374,0.0,0
1744810307,36021413,375,0.0,0
1744810307,936638393,376,0.0,0
1744810309,137258097,377,0.0,0
1744810310,38141753,378,0.0,0
1744810310,939066257,379,0.0,0
1744810311,839333329,380,0.0,0
1744810313,39570953,380,0.0,0
1744810313,942833333,381,0.0,0
1744810316,41384813,381,0.0,0
1744810316,941747801,382,0.0,0
1744810317,843106885,382,0.0,0
1744810319,43153841,382,0.0,0
1744810319,943008329,383,0.0,0
1744810320,846946333,383,0.0,0
1744810322,45446093,384,0.0,0
1744810323,848416021,384,0.0,0
1744810325,46457537,384,0.0,0
1744810325,949724465,385,0.0,0
